Date;Open;High;Low;Close;Volume;Adj Close
2015-04-29;48.720001;49.310001;48.50;49.060001;47804600;48.09969
2015-04-28;47.779999;49.209999;47.700001;49.16;60730800;48.197731
2015-04-27;47.23;48.130001;47.220001;48.029999;59248200;47.089849
2015-04-24;45.66;48.139999;45.650002;47.869999;130933700;46.932981
2015-04-23;42.889999;43.610001;42.799999;43.34;46309500;42.491653
2015-04-22;42.669998;43.130001;42.549999;42.990002;25064300;42.148506
2015-04-21;43.00;43.150002;42.529999;42.639999;26013800;41.805354
2015-04-20;41.73;43.169998;41.68;42.91;46057700;42.07007
2015-04-17;41.669998;41.740002;41.16;41.619999;42387600;40.80532
2015-04-16;41.950001;42.34;41.82;42.16;22509700;41.334751
2015-04-15;41.759998;42.459999;41.68;42.259998;27343600;41.432792
2015-04-14;41.799999;42.029999;41.389999;41.650002;24244400;40.834735
2015-04-13;41.400002;42.060001;41.389999;41.759998;30276700;40.942579
2015-04-10;41.630001;41.950001;41.41;41.720001;28022000;40.903365
2015-04-09;41.25;41.619999;41.25;41.48;25723900;40.668061
2015-04-08;41.459999;41.689999;41.040001;41.419998;24753400;40.609234
2015-04-07;41.610001;41.91;41.310001;41.529999;28809400;40.717081
2015-04-06;40.34;41.779999;40.18;41.549999;39223700;40.73669
2015-04-02;40.66;40.740002;40.119999;40.290001;37487500;39.501355
2015-04-01;40.599998;40.759998;40.310001;40.720001;36865300;39.922939
2015-03-31;40.779999;41.029999;40.540001;40.66;34887200;39.864112
2015-03-30;41.099998;41.540001;40.91;40.959999;35049700;40.158239
2015-03-27;41.119999;41.43;40.830002;40.970001;34401400;40.168045
2015-03-26;41.220001;41.610001;40.919998;41.209999;37495600;40.403345
2015-03-25;42.919998;42.93;41.439999;41.459999;43469900;40.648452
2015-03-24;42.779999;43.169998;42.75;42.900002;25513300;42.060267
2015-03-23;42.880001;43.130001;42.779999;42.860001;26246100;42.021049
2015-03-20;42.560001;42.98;42.490002;42.880001;71904500;42.040658
2015-03-19;42.259998;42.59;42.220001;42.290001;33879100;41.462207
2015-03-18;41.43;42.830002;41.330002;42.50;44194800;41.668095
2015-03-17;41.369999;41.830002;41.150002;41.700001;31673400;40.883756
2015-03-16;41.470001;41.639999;41.279999;41.560001;35273500;40.746497
2015-03-13;40.700001;41.470001;40.610001;41.380001;58007700;40.57002
2015-03-12;41.330002;41.650002;40.860001;41.02;59992500;40.217066
2015-03-11;42.310001;42.369999;41.84;41.98;32215300;41.158274
2015-03-10;42.349998;42.709999;42.029999;42.029999;39159700;41.207294
2015-03-09;42.189999;43.130001;42.189999;42.849998;32108000;42.011243
2015-03-06;43.00;43.110001;42.150002;42.360001;36248800;41.530836
2015-03-05;43.07;43.240002;42.82;43.110001;23193500;42.266156
2015-03-04;43.009998;43.209999;42.880001;43.060001;25748700;42.217135
2015-03-03;43.560001;43.830002;43.09;43.279999;31748600;42.432826
2015-03-02;43.669998;44.189999;43.549999;43.880001;31924000;43.021084
2015-02-27;44.130001;44.200001;43.66;43.849998;33807700;42.991669
2015-02-26;43.990002;44.23;43.889999;44.060001;28957300;43.197561
2015-02-25;43.950001;44.09;43.799999;43.990002;29759800;43.128931
2015-02-24;44.150002;44.299999;43.919998;44.09;25271700;43.226973
2015-02-23;43.700001;44.189999;43.650002;44.150002;32518800;43.285799
2015-02-20;43.509998;43.880001;43.290001;43.860001;29721100;43.001475
2015-02-19;43.18;43.529999;43.049999;43.50;27603400;42.648521
2015-02-18;43.630001;43.700001;43.389999;43.529999;27111700;42.677933
2015-02-17;43.970001;44.00;43.189999;43.580002;33695700;42.726957
2015-02-13;43.380001;43.869999;43.150002;43.869999;40264900;42.707348
2015-02-12;42.66;43.09;42.509998;43.09;33268800;41.948021
2015-02-11;42.650002;42.650002;42.209999;42.380001;38262500;41.256838
2015-02-10;42.740002;42.77;42.18;42.599998;29670700;41.471005
2015-02-09;42.240002;42.740002;42.209999;42.360001;31381100;41.237368
2015-02-06;42.68;42.790001;42.150002;42.41;34311700;41.286042
2015-02-05;42.220001;42.639999;41.860001;42.450001;36548200;41.324983
2015-02-04;41.939999;42.209999;41.360001;41.84;41614800;40.731148
2015-02-03;41.630001;41.93;41.049999;41.599998;52082400;40.497507
2015-02-02;40.59;41.369999;40.23;41.279999;50352500;40.185988
2015-01-30;41.549999;41.580002;40.349998;40.400002;78004900;39.329313
2015-01-29;40.93;42.119999;40.790001;42.009998;63585300;40.896641
2015-01-28;42.740002;42.790001;41.16;41.189999;84507100;40.098373
2015-01-27;42.950001;43.200001;42.110001;42.66;169164000;41.529416
